tweet_id,favorite_count,retweet_count
892420643555336193,34999,7345
892177421306343426,30301,5480
891815181378084864,22789,3624
891689557279858688,38258,7532
891327558926688256,36540,8114
891087950875897856,18430,2715
890971913173991426,10720,1758
890729181411237888,58946,16470
890609185150312448,25363,3768
890240255349198849,28944,6379
890006608113172480,27903,6406
889880896479866881,25379,4343
889665388333682689,43576,8732
889638837579907072,24499,3896
889531135344209921,13804,1967
889278841981685760,22864,4638
888917238123831296,26481,3909
888804989199671297,23245,3703
888554962724278272,17919,3009
888078434458587136,19809,3033
887705289381826560,27553,4713
887517139158093824,42143,10265
887473957103951883,62342,15684
887343217045368832,30578,9202
887101392804085760,27877,5206
886983233522544640,31566,6662
886736880519319552,10856,2766
886680336477933568,20442,3906
886366144734445568,19188,2761
886267009285017600,107,3
886258384151887873,25435,5518
886054160059072513,0,96
885984800019947520,29593,5856
885528943205470208,32675,5578
885518971528720385,18616,3261
885311592912609280,0,16133
885167619883638784,19889,3817
884925521741709313,69849,15752
884876753390489601,25274,4877
884562892145688576,22084,4098
884441805382717440,24656,4973
884247878851493888,65789,17728
884162670584377345,18528,2614
883838122936631299,19859,2984
883482846933004288,41640,8625
883360690899218434,20616,3213
883117836046086144,33694,5789
882992080364220416,21711,3385
882762694511734784,25663,4263
882627270321602560,25484,5289
882268110199369728,40664,10098
882045870035918850,26639,4246
881906580714921986,22153,2971
881666595344535552,46072,9327
881633300179243008,114,8
881536004380872706,44963,13991
881268444196462592,21183,4643
880935762899988482,15555,2441
880872448815771648,19371,3336
880465832366813184,25856,5430
880221127280381952,24473,3626
880095782870896641,25124,3802
879862464715927552,20367,3045
879674319642796034,288,10
879492040517615616,21388,2769
879415818425184262,96101,39037
879376492567855104,15349,2742
879130579576475649,0,5973
879050749262655488,20515,4127
879008229531029506,17317,2343
878776093423087618,17669,3599
878604707211726852,27364,6186
878404777348136964,0,1117
878316110768087041,0,5794
878281511006478336,7024,1117
878057613040115712,38342,5973
877736472329191424,71947,16574
877611172832227328,0,71
877556246731214848,20664,3321
877316821321428993,25006,4564
877201837425926144,24673,4863
